Table 1.2 Net overseas migration by country of birth, New South Wales, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,UK, CIs & IOM,5 360,6 020,7 090,8 850,7 250,5 330,7 170,6 910,6 730,4 210,3 340,3 220,3 980,2 940,2 210,2 820,930,170,5 950,7 310,7 660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,Ireland,420,630,960,1 940,2 700,1 510,2 830,2 900,1 310,-410,-780,-460,340,630,420,520,-400,-120,4 100,3 480,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,Austria,50,30,70,50,50,20,10,80,10,0,30,30,30,-10,30,10,-10,10,10,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,Belgium,50,80,120,100,40,80,80,80,100,120,140,140,90,100,0,90,-70,-10,160,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,France,450,550,670,890,880,630,950,970,970,940,920,800,600,470,170,440,-690,-300,1 310,960,1 090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,Germany,850,870,1 150,1 080,780,730,710,600,440,360,420,460,560,150,-190,320,-250,-20,640,30,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,Luxembourg,10,10,0,0,0,10,10,0,10,10,10,10,0,0,10,10,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,Netherlands,270,310,280,290,200,270,300,200,250,160,280,290,290,90,-100,200,-150,-30,250,60,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,Switzerland,150,110,40,120,50,60,70,40,30,90,70,50,60,40,10,50,-10,-30,60,-10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,Denmark,100,20,50,60,30,50,60,80,80,20,40,20,30,10,-40,40,-20,0,60,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,Finland,70,50,60,90,40,40,60,80,20,50,60,30,60,20,10,20,-60,-20,60,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,Iceland,10,-10,10,0,0,0,0,0,0,0,0,-10,10,0,10,0,10,-10,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,Norway,0,-60,10,30,-10,50,60,20,20,30,-10,40,20,30,-40,0,-50,30,60,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,Sweden,210,210,150,190,140,150,150,250,210,130,150,140,40,100,-30,-20,-50,-30,150,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,Italy,240,180,350,230,420,450,670,990,1 610,1 370,1 030,560,400,150,20,270,-370,-110,860,470,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,Malta,0,10,30,30,0,0,20,20,0,0,-10,-10,20,10,10,0,-10,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,Portugal,30,50,20,50,30,70,70,160,230,140,70,110,30,50,-30,-20,-20,-50,70,60,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,Spain,110,70,40,70,60,140,230,380,400,300,400,340,310,210,130,320,-210,-100,720,330,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201,Albania,0,20,10,20,20,10,10,20,40,50,60,20,30,30,40,20,-10,-10,30,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3202,Bosnia/Herzegov,50,10,0,-10,-30,0,0,20,10,10,30,10,0,-10,-10,0,-10,-70,-60,-40,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203,Bulgaria,50,0,20,10,30,0,10,30,50,60,60,70,50,50,0,20,0,-50,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3204,Croatia,0,-30,-40,-30,-50,-10,-10,-20,50,20,0,-30,0,-30,0,20,-10,-150,-60,-50,-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3205,Cyprus,-40,0,-10,-10,0,0,-10,40,40,30,40,0,10,-10,-20,20,-10,-30,10,10,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206,North Macedonia,100,130,140,130,70,100,60,60,80,110,100,80,110,80,40,-170,-20,10,90,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3207,Greece,-40,30,-10,-10,40,20,160,570,580,340,180,170,120,60,-20,30,-90,-150,-40,0,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3208,Moldova,10,0,0,10,0,10,20,20,10,10,20,10,30,10,10,20,-10,10,30,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211,Romania,150,40,60,30,90,60,50,70,90,80,50,50,60,30,10,40,-10,10,30,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212,Slovenia,-10,20,30,-20,-10,20,10,10,10,20,40,10,0,0,0,10,0,-10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214,Montenegro,10,10,10,0,0,0,0,10,10,10,10,10,10,0,10,0,0,0,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3215,Serbia,90,100,110,60,60,50,40,90,70,60,60,50,90,60,40,90,-60,-70,-10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216,Kosovo,0,0,0,0,0,0,0,10,0,0,0,10,10,10,0,10,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301,Belarus,20,40,30,10,30,20,30,30,30,40,40,30,30,30,10,30,0,30,40,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,Czechia,70,60,140,100,20,110,60,80,200,190,150,140,60,0,-50,-20,-70,-50,60,-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,Estonia,10,30,60,80,160,130,60,80,120,120,60,60,120,110,-30,-40,-30,20,140,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3304,Hungary,60,90,110,80,80,90,70,120,150,70,30,60,70,-10,-20,0,-10,-10,40,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,Latvia,50,60,30,10,40,60,60,50,60,40,50,30,20,10,20,20,0,20,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,Lithuania,30,0,20,40,40,70,90,70,90,90,110,100,140,70,40,-20,-50,40,90,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,Poland,150,140,90,130,200,130,180,240,250,270,260,280,370,230,50,60,-90,-40,250,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,Russia,190,210,240,270,360,370,330,340,410,370,330,280,360,290,230,310,10,300,700,350,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,Slovakia,50,0,60,10,10,10,50,80,130,100,120,40,40,10,-20,-30,-60,-10,70,-20,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,Ukraine,100,80,100,130,130,170,140,190,180,190,230,200,200,140,120,130,40,1 230,580,120,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4101,Algeria,0,10,-10,30,10,0,10,20,20,30,10,20,10,10,30,20,-20,0,20,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
